alt,time,vs,hs,dist,ang,weight,acc,fuel
11801.259245691523,64.0,30.50200467016259,828.3989260595056,124418.85887446237,61.52582926097913,274.55269031194086,2.330947015677466,109.55269031194085
11771.03440989755,65.0,30.224835793973508,826.3485789012517,123592.51029556112,61.59653463135222,274.32734418201295,2.331141199308877,109.32734418201296
11741.077177006302,66.0,29.957232891247433,824.2939144970044,122768.21638106412,61.81152901494898,274.10302221166023,2.3224456636371684,109.10302221166023
11711.369212413601,67.0,29.707964592700712,822.2403873304085,121945.97599373371,62.15432710852667,273.88049233383265,2.3057637364652144,108.88049233383263
11681.884695049861,68.0,29.484517363740522,820.1932021342918,121125.78279159941,62.60500457420609,273.66041141323046,2.2822225569486143,108.66041141323043
11652.5918296038,69.0,29.292865446060656,818.1571788232019,120307.62561277622,63.14125071515501,273.44331009608203,2.253111740900305,108.44331009608204
11623.454481228784,70.0,29.137348375015506,816.1366083189524,119491.48900445727,63.73942281452665,273.2295837443294,2.2198208540780255,108.22958374432939
11594.433830664002,71.0,29.020650564782954,814.1351113086922,118677.35389314858,64.37554079352454,273.0194891640689,2.1837794481755495,108.0194891640689
11565.489961576051,72.0,28.94386908795123,812.1555135710203,117865.19837957756,65.0261753276864,272.8131465596897,2.146402611639795,107.81314655968967
11536.583311388422,73.0,28.90665018762873,810.19975030792,117054.99862926964,65.66919917839043,272.610545960993,2.1090440317454147,107.61054596099304
11507.675938819146,74.0,28.907372569275807,808.2688086425081,116246.72982062714,66.28438789634718,272.4115572804137,2.0729575965391356,107.41155728041369
11478.732582881028,75.0,28.943355938118074,806.3627130990866,115440.36710752804,66.85387027969315,272.2159431496355,2.0392677060538342,107.21594314963552
11449.721506896854,76.0,29.0110759841728,804.4805544643251,114635.88655306371,67.36243973050038,272.02337374010267,2.0089477947016543,107.02337374010264
11420.615135645678,77.0,29.106371251176895,802.6205586785683,113833.26599438515,67.79774441252175,271.83344286752003,1.9828061297493196,106.83344286752
11391.390503446017,78.0,29.224632199660224,800.7801897218311,113032.48580466332,68.15037700494989,271.6456847943109,1.9614777422868452,106.64568479431091
11362.029535905991,79.0,29.360967540025356,798.9562789141794,112233.52952574914,68.41388449130044,271.45959125740694,1.94542133492884,106.45959125740691
11332.519188890179,80.0,29.510347015811117,797.1451724880438,111436.38435326109,68.58471570241224,271.2746283478828,1.9349201450971378,106.27462834788281
11302.851465966385,81.0,29.667722923793207,795.3428894379848,110641.0414638231,68.6621202023864,271.09025294541595,1.9300859687948806,106.09025294541597
11273.023331343647,82.0,29.828134622738272,793.5452822251285,109847.49618159798,68.64800745739728,270.9059284610421,1.9308658144461848,105.90592846104207
11243.036530231686,83.0,29.986801111961967,791.7481936785618,109055.74798791941,68.54677081392232,270.72113966724885,1.9370509140118932,105.72113966724885
11212.897323667848,84.0,30.139206563836833,789.947604253532,108265.80038366588,68.36507722280925,270.5354063995758,1.9482880328405467,105.53540639957576
11182.616141017774,85.0,30.281182650075085,788.139764626867,107477.660619039,68.11162129433843,270.348295905514,1.9640931640663295,105.34829590551401
11152.207151180806,86.0,30.408989836967912,786.3213094544457,106691.33930958455,67.7968414011729,270.1594336030621,1.9838677513170853,105.1594336030621
11121.687753378854,87.0,30.51939780195288,784.489349040336,105906.84996054422,67.43259623158735,269.9685120017145,2.006917548819303,104.96851200171447
11091.077990349999,88.0,30.609763028854992,782.6415367257155,105124.2084238185,67.03180232787388,269.7752975413426,2.03247410514598,104.77529754134257
11060.399890585217,89.0,30.678099764781543,780.7761110137197,104343.43231280478,66.60803644100714,269.5796351262023,2.0597186611220075,104.57963512620226
11029.676751443465,90.0,30.723139141751677,778.8919127607023,103564.54040004408,66.17511054896345,269.3814501764925,2.0878080090811992,104.38145017649249
10998.932380841761,91.0,30.74437060170396,776.9883790799166,102787.55202096415,65.74663155893437,269.1807480895903,2.1159016028685036,104.18074808959028
10968.190320894148,92.0,30.74205994761332,775.0655167714333,102012.48650419273,65.33556142550724,268.9776110948181,2.14318897280279,103.97761109481807
10937.473081500088,93.0,30.71723939406089,773.1238589547373,101239.36264523798,64.95379608143821,268.77219259345316,2.1689163233010276,103.77219259345314
10906.80141469952,94.0,30.671666800568516,771.1644090152403,100468.19823622274,64.61178272969283,268.5647091910077,2.1924111025481428,103.56470919100771
10876.193661079393,95.0,30.607753620125713,769.1885759331906,99699.00966028955,64.31819441611313,268.355430741293,2.2131033517894716,103.35543074129299
10845.665197395554,96.0,30.528463683838165,767.1981045868869,98931.81155570266,64.07967836287933,268.14466882087714,2.230542770667368,103.14466882087716
10815.228009956356,97.0,30.4371874391981,765.1950038437406,98166.61655185893,63.90069050851159,267.9327641288555,2.2444106639573738,102.93276412885552
10784.890411603077,98.0,30.337598353278295,763.1814743626173,97403.43507749631,63.78342349043658,267.72007335333046,2.2545262407258444,102.72007335333045
10754.65691196485,99.0,30.233499638227066,761.159837229984,96642.27524026633,63.72782947748429,267.506956058783,2.2608470870249397,102.50695605878299
10724.528241858132,100.0,30.12867010671828,759.1324640029934,95883.14277626334,63.73173342030039,267.293762127248,2.263463991424313,102.29376212724802
10694.501524076712,101.0,30.026717781420228,757.1017085207774,95126.04106774257,63.7910270132989,267.0808202338717,2.2625906336325814,102.08082023387172
10664.570575143896,102.0,29.930948932815497,755.0698409652299,94370.97122677734,63.899929424542734,266.8684277598053,2.2585489202951017,101.86842775980527
10634.726316484912,103.0,29.844258658984604,753.0389850168272,93617.93224176051,64.05129796856309,266.6568424501549,2.2517509475447914,101.65684245015491
10604.95726932118,104.0,29.76904716373227,751.0110594196135,92866.9211823409,64.23697051243411,266.4462760204474,2.2426786762696724,101.44627602044736
10575.250105544843,105.0,29.707163776336568,748.9877256896805,92117.93345665121,64.44812148112308,266.23688981023173,2.23186242332884,101.23688981023172
10545.590226824248,106.0,29.65987872059446,746.9703439452329,91370.96311270598,64.67561467439444,266.0287924844554,2.219859209696002,101.0287924844554
10515.962345944788,107.0,29.627880879458733,744.9599388262549,90626.00317387973,64.91033842215589,265.8220396978627,2.207231881668081,100.8220396978627
10486.351047491595,108.0,29.611298453193267,742.9571771908091,89883.04599668892,65.14351152524733,265.6166355685539,2.1945297550849867,100.61663556855387
10456.741308947927,109.0,29.609738543668403,740.9623587605618,89142.08363792836,65.36695158454589,265.41253575557,2.1822713472537236,100.41253575556998
10427.118967630973,110.0,29.622341316953104,738.9754202153003,88403.10821771306,65.57330038375129,265.20965190159257,2.1709295773187036,100.20965190159254
10397.471123186444,111.0,29.647844444529895,736.9959524964265,87666.11226521664,65.756203706501,265.0078571837321,2.1609196493488985,100.0078571837321
